,closest_zips,zipcode
0,"['60629', '60636', '60652', '60632', '60609', '60621', '60620', '60638', '60456', '60805', '60459', '60623', '60608']",60629
1,"['79936', '79935', '79925', '79915', '79908']",79936
2,"['11368', '11355', '11369', '11372', '11373', '11371', '11367', '11356', '11375', '11354', '11374', '11379', '11358', '11370', '11415', '11377', '11103', '11365', '11351', '11378', '11366', '11357', '11418', '11104', '11105', '11432', '11385', '11435', '11416', '11421', '11360', '11419', '10474', '11433', '10473']",11368
3,"['90650', '90670', '90701', '90703', '90706', '90242', '90241', '90638', '90240', '90604', '90605', '90713', '90623', '90715', '90606']",90650
4,"['90011', '90007', '90021', '90037', '90015', '90014', '90017', '90001', '90062', '90058', '90071', '90013', '90079', '90006', '90003', '90023', '90255', '90057', '90012', '90018', '90033', '90010', '90002', '90270', '90005', '90044', '90063', '90043', '90026']",90011
5,"['91331', '91340', '91402', '91345', '91342', '91605', '91343', '91405']",91331
6,"['11226', '11225', '11218', '11210', '11203', '11213', '11215', '11238', '11216', '11230', '11212', '11217', '11219', '11204', '11233', '11231', '11221', '11236', '11220', '11232', '11228', '11207', '11205', '11223', '11206', '11229', '11201', '11237', '11211', '11209', '11214', '10005', '11234', '10004', '10038', '10271', '11235', '10006', '10280']",11226
7,"['90201', '90270', '90040', '90255', '90058', '90280', '90240', '90023', '90241', '90022', '90262', '90640', '90063', '90242', '90001', '91754']",90201
8,"['11373', '11372', '11379', '11369', '11377', '11368', '11378', '11374', '11103', '11375', '11104', '11371', '11355', '11367', '11385', '11370', '11101', '11105', '11356', '11102', '11415', '11106', '11237', '11351', '11421', '11222', '11354', '11416', '11418', '11109', '11206', '10044', '11211', '11221', '10028', '10128', '11435', '11233', '11419', '10474', '11208', '10035', '11207']",11373
9,"['11220', '11232', '11219', '11209', '11228', '11204', '11218', '11214', '11215', '11231', '11230', '11226', '11225', '11217', '11210', '10305', '11223', '10004', '11238', '10304', '11201', '11224', '10005', '11216', '10280', '10006', '10271', '07305', '11205', '10038']",11220
10,"['11385', '11421', '11379', '11416', '11374', '11375', '11237', '11208', '11207', '11233', '11351', '11378', '11418', '11415', '11221', '11373', '11417', '11206', '11414', '11419', '11367', '11420', '11372', '11104', '11212', '11239', '11435', '11211', '11213', '11377', '11368', '11216', '11369', '11101', '11430', '11222', '11236', '11355', '11203', '11103', '11371']",11385
11,"['10467', '10469', '10470', '10466', '10468', '10458', '10471', '10463', '10475', '10457', '10704', '10460', '10550', '10453', '10705', '10462', '10461', '10553', '10803', '10034', '10040', '10552', '10472', '10459', '10452', '10456', '10473', '10465', '10032', '10033', '10708', '10701', '10451', '10474']",10467
12,"['92335', '92337', '91739', '92376', '92336', '92316']",92335
13,"['77084', '77449', '77079', '77043']",77084
14,"['10025', '10162', '10165', '10168', '10169', '10170', '10172', '10173', '10174', '10177', '10279', '10024', '10115', '10027', '10026', '10029', '07020', '10023', '07010', '10028', '10128', '10069', '10030', '10037', '07022', '10035', '10021', '10075', '07093', '10031', '10019', '10044', '10065', '10153', '10039', '10454', '07047', '10103', '10022', '10111', '10152', '10112', '10020', '10154', '07657', '11102', '10018', '10036', '10451', '10171', '10167', '10032', '10033', '11106', '10455', '10110', '07086', '11105', '07024', '10017', '10119', '10199', '10001', '10456', '07087', '07650', '10452', '11109', '10016', '11103', '07605', '10011', '11101', '07643', '07660', '10034', '10040', '10014', '10453', '07030', '11377', '10009', '10010', '11104', '10003', '11222']",10025
15,"['11208', '11414', '11239', '11421', '11207', '11417', '11416', '11385', '11236', '11233', '11420', '11212', '11430', '11418', '11419', '11351', '11237', '11221', '11203', '11415', '11379', '11374', '11375', '11213', '11436', '11435', '11206', '11234', '11378', '11367', '11373', '11693']",11208
16,"['90280', '90262', '90255', '90201', '90723', '90242', '90241', '90270', '90002', '90222', '90059', '90001', '90040', '90221', '90240', '90058', '90003', '90061', '90706']",90280
17,"['77449', '77084']",77449
18,"['11236', '11203', '11239', '11212', '11207', '11234', '11208', '11210', '11213', '11233', '11414', '11226', '11225', '11229', '11417', '11221', '11216', '11230', '11421', '11238', '11237', '11385', '11416', '11223', '11206', '11235', '11694']",11236
19,['78521'],78521
20,"['90805', '90221', '90807', '90712', '90723', '90806', '90220', '90706', '90810', '90713', '90755', '90808', '90746', '90242', '90222', '90262']",90805
21,"['11207', '11233', '11212', '11208', '11236', '11221', '11203', '11239', '11213', '11237', '11385', '11421', '11216', '11414', '11206', '11416', '11417', '11238', '11225', '11226', '11379', '11211', '11210', '11374', '11378', '11234', '11205', '11418', '11351', '11375', '11415', '11222', '11104', '11373']",11207
22,"['90250', '90260', '90303', '90249', '90506', '90304', '90245', '90504', '90278', '90247', '90266', '90301', '90047', '90305', '90302', '90044', '90248', '90045', '90254', '90061', '90503']",90250
23,"['08701', '08755']",08701
24,"['11219', '11228', '11204', '11220', '11232', '11209', '11230', '11218', '11214', '11226', '11223', '11210', '11225', '11215', '11231', '11224', '11217', '11229', '11203', '11238', '11213', '11216', '11235', '11201', '10004']",11219
25,"['60623', '60804', '60632', '60608', '60624', '60402', '60612', '60644', '60304', '60609', '60607', '60651', '60629', '60622', '60638', '60636', '60661', '60302']",60623
26,"['60618', '60625', '60647', '60657', '60640', '60641', '60613', '60659', '60660', '60614', '60630', '60622', '60639', '60651', '60642', '60645', '60626', '60712', '60646', '60610', '60612', '60624']",60618
27,"['91342', '91340', '91331', '91345', '91040']",91342
28,"['60632', '60609', '60623', '60608', '60629', '60636', '60621', '60616', '60804', '60607', '60653', '60612', '60624', '60402', '60615', '60652', '60661', '60638', '60605']",60632
29,"['60639', '60651', '60641', '60707', '60302', '60644', '60301', '60647', '60634', '60624', '60630', '60304', '60618', '60305', '60622', '60171', '60612', '60656', '60706', '60625', '60130', '60153']",60639
30,"['11211', '11206', '11205', '11222', '11237', '11221', '11216', '10009', '10010', '11101', '11238', '10002', '11201', '10016', '11109', '10003', '11378', '11104', '11217', '11233', '10012', '10038', '11213', '10278', '10005', '10017', '10007', '10271', '11215', '10013', '10006', '10011', '11231', '10167', '10171', '10282', '10110', '10001', '11377', '11106', '11225', '10154', '10280', '10152', '10119', '10022', '10111', '11379', '10004', '11385', '10112', '10020', '10014', '11212', '10199', '11207', '10103', '10065', '10153', '10018', '10036', '11103', '10044', '10021', '10075', '11226', '11373', '11102', '11203', '11218', '11372', '10019', '10028', '10128']",11211
